date,nav,daily_ret,regime,exposure,dd,n_positions,breaker,month
2021-08-03,0.9656849349605587,-0.0005269703665410496,bull,0.03125,-0.10284505721438135,10,0.5,2021-08
2021-08-04,0.9661574187388435,0.0004892732206742351,bull,0.015625,-0.10240610332608077,10,0.5,2021-08
2021-08-05,0.9661692674999931,1.226379979048059e-05,bull,0.0078125,-0.10239509541423873,10,0.5,2021-08
2021-08-06,0.966364205604051,0.0002017639254479806,bull,0.00390625,-0.10221399112518824,10,0.5,2021-08
2021-08-09,0.9664227594789101,6.059193264773396e-05,bull,0.001953125,-0.10215959253580646,10,0.5,2021-08
2021-08-10,0.9665105846489466,9.087655394607848e-05,bull,0.0009765625,-0.10207799989358261,10,0.5,2021-08
2021-08-11,0.9666005818644969,9.311560264286242e-05,bull,0.00048828125,-0.10199438934541635,10,0.5,2021-08
2021-08-12,0.966679410464019,8.155240230654945e-05,bull,0.000244140625,-0.10192115483058264,10,0.5,2021-08
2021-08-13,0.9667552944408759,7.849963083477031e-05,bull,0.0001220703125,-0.10185065597277634,10,0.5,2021-08
2021-08-16,0.9668309147156167,7.822069884231382e-05,bull,6.103515625e-05,-0.10178040210342172,10,0.5,2021-08
2021-08-17,0.9669066647230333,7.834876426047263e-05,bull,3.0517578125e-05,-0.1017100277078921,10,0.5,2021-08
2021-08-18,0.9669837928448684,7.976790795728567e-05,bull,1.52587890625e-05,-0.10163837299606325,10,0.5,2021-08
2021-08-19,0.9670605222224039,7.93491867218626e-05,bull,7.62939453125e-06,-0.10156708873157827,10,0.5,2021-08
2021-08-20,0.9637464540459074,-0.0034269501239492343,bull,1.0,-0.10464597350820967,10,0.5,2021-08
2021-08-23,0.9777976794178453,0.014579794626428435,bull,0.5,-0.09159189568401366,10,0.5,2021-08
2021-08-24,0.973245631683571,-0.004655408608644381,bull,0.25,-0.0958209065930086,10,0.5,2021-08
2021-08-25,0.9732098223301471,-3.6793746879651074e-05,bull,0.125,-0.09585417472970535,10,0.5,2021-08
2021-08-26,0.9735566025904725,0.0003563263053544245,bull,0.0625,-0.09553200378828526,10,0.5,2021-08
2021-08-27,0.9734114787417093,-0.00014906565101304806,bull,0.03125,-0.09566682889896103,10,0.5,2021-08
