date,nav,daily_ret,timing,exposure,dd,n_positions,month
2021-09-17,1.76987609898167,-0.0011129634703908708,1,1.0,-0.025809604852906978,10,2021-09
2021-09-22,1.7561185850005485,-0.007773150894029857,1,1.0,-0.03338213379389991,10,2021-09
2021-09-23,1.7906900434429462,0.019686289261830792,1,1.0,-0.014353014874113003,10,2021-09
2021-09-24,1.7645631218691133,-0.01459042097737866,1,1.0,-0.028734019322183682,10,2021-09
2021-09-27,1.7208961996268055,-0.024746591210663905,1,1.0,-0.052769541502842174,10,2021-09
2021-09-28,1.7226058817071428,0.0009934835585713284,1,1.0,-0.051828483616147177,10,2021-09
2021-09-29,1.6711443589427144,-0.029874229103077642,1,1.0,-0.08015437672561102,10,2021-09
2021-09-30,1.698655186830926,0.016462268948217673,1,1.0,-0.06501163068442715,10,2021-09
2021-10-08,1.7438329511917148,0.02659619486699587,1,1.0,-0.040144497815735425,10,2021-10
2021-10-11,1.7368772974822309,-0.003988715607610439,1,1.0,-0.04397308843834864,10,2021-10
2021-10-12,1.713789685756068,-0.013292598020384395,1,1.0,-0.056681169870407264,10,2021-10
2021-10-13,1.7209439655858647,0.004174537803126321,1,1.0,-0.05274324975363033,10,2021-10
2021-10-14,1.7159650718614683,-0.002893117860872041,1,1.0,-0.055483775176599706,10,2021-10
2021-10-15,1.6884167052233159,-0.01605415348476068,1,1.0,-0.07064718361876131,10,2021-10
2021-10-18,1.6707738983874068,-0.010449320230799041,1,1.0,-0.08035828880452389,10,2021-10
2021-10-19,1.6701486844425357,-0.00037420619598765924,1,1.0,-0.08070242443094193,10,2021-10
2021-10-20,1.6676714754260298,-0.0014832266369941946,1,1.0,-0.08206595108235012,10,2021-10
2021-10-21,1.6525418050952028,-0.009072332622923741,1,1.0,-0.09039375410003823,10,2021-10
2021-10-22,1.6464271152289123,-0.0037001725750219648,1,1.0,-0.09375945418518593,10,2021-10
2021-10-25,1.6373650250922263,-0.00550409432210186,1,1.0,-0.09874748762786374,10,2021-10
2021-10-26,1.6297047394456166,-0.004678422666429006,1,1.0,-0.10296392780992171,10,2021-10
2021-10-27,1.587935790255287,-0.02562976481527457,1,1.0,-0.12595475137097106,10,2021-10
2021-10-28,1.5880618169053073,7.936507936507937e-05,1,0.0,-0.12588538270044497,0,2021-10
2021-10-29,1.5881878535574427,7.936507936507937e-05,1,0.0,-0.12581600852446878,0,2021-10
2021-11-01,1.588313900212487,7.936507936507937e-05,1,0.0,-0.12574662884260557,0,2021-11
2021-11-02,1.5884399568712342,7.936507936507937e-05,1,0.0,-0.12567724365441843,0,2021-11
2021-11-03,1.588566023534478,7.936507936507937e-05,1,0.0,-0.1256078529594703,0,2021-11
2021-11-04,1.5886921002030125,7.936507936507937e-05,1,0.0,-0.12553845675732422,0,2021-11
2021-11-05,1.5888181868776319,7.936507936507937e-05,1,0.0,-0.12546905504754305,0,2021-11
2021-11-08,1.58894428355913,7.936507936507937e-05,1,0.0,-0.12539964782968968,0,2021-11
2021-11-09,1.5890703902483014,7.936507936507937e-05,1,0.0,-0.12533023510332697,0,2021-11
2021-11-10,1.5891965069459402,7.936507936507937e-05,1,0.0,-0.1252608168680177,0,2021-11
2021-11-11,1.5893226336528408,7.936507936507937e-05,1,0.0,-0.12519139312332464,0,2021-11
2021-11-12,1.5894487703697975,7.936507936507937e-05,1,0.0,-0.12512196386881053,0,2021-11
2021-11-15,1.5895749170976046,7.936507936507937e-05,1,0.0,-0.12505252910403825,0,2021-11
2021-11-16,1.5897010738370567,7.936507936507937e-05,1,0.0,-0.12498308882857033,0,2021-11
2021-11-17,1.5898272405889486,7.936507936507937e-05,1,0.0,-0.12491364304196938,0,2021-11
2021-11-18,1.5899534173540748,7.936507936507937e-05,1,0.0,-0.12484419174379807,0,2021-11
2021-11-19,1.59007960413323,7.936507936507937e-05,1,0.0,-0.124774734933619,0,2021-11
2021-11-22,1.5902058009272089,7.936507936507937e-05,1,0.0,-0.12470527261099461,0,2021-11
2021-11-23,1.5903320077368064,7.936507936507937e-05,1,0.0,-0.12463580477548748,0,2021-11
2021-11-24,1.5904582245628174,7.936507936507937e-05,1,0.0,-0.12456633142666006,0,2021-11
2021-11-25,1.5905844514060368,7.936507936507937e-05,1,0.0,-0.1244968525640748,0,2021-11
2021-11-26,1.5859021049394582,-0.0029437899147320245,1,0.30000000000000004,-0.1270741498998128,10,2021-11
2021-11-29,1.5894858726097079,0.0022597660089406614,1,0.30000000000000004,-0.12510154173543073,10,2021-11
2021-11-30,1.600460539509482,0.006904538812764224,1,0.30000000000000004,-0.11906077137311545,10,2021-11
2021-12-01,1.6054669606303902,0.0031281128133546624,1,0.30000000000000004,-0.11630509408426087,10,2021-12
2021-12-02,1.6013558418819462,-0.002560699690032675,1,0.30000000000000004,-0.11856797135592276,10,2021-12
2021-12-03,1.6046822501041198,0.0020772448791046374,1,0.30000000000000004,-0.11673702118814304,10,2021-12
2021-12-06,1.596821469535119,-0.004898652408282632,1,0.30000000000000004,-0.12106381950644653,10,2021-12
2021-12-07,1.590902486066808,-0.003706728385881579,1,0.30000000000000004,-0.12432179719606039,10,2021-12
2021-12-08,1.5937573620706083,0.0017945009381804048,1,0.30000000000000004,-0.12275039183958467,10,2021-12
2021-12-09,1.5974692774104318,0.002329034160507938,1,0.30000000000000004,-0.12070724753488683,10,2021-12
2021-12-10,1.5985094576028676,0.0006511425334714328,1,0.30000000000000004,-0.12013470262438364,10,2021-12
2021-12-13,1.6033455380489545,0.003025368678981154,1,0.30000000000000004,-0.11747278571198096,10,2021-12
2021-12-14,1.608993435150147,0.0035225701304941555,1,0.30000000000000004,-0.11436402170758173,10,2021-12
2021-12-15,1.6119200888915626,0.0018189345447159396,1,0.30000000000000004,-0.1127531078326224,10,2021-12
2021-12-16,1.6175733043693532,0.003507131350213502,1,0.30000000000000004,-0.10964141644172265,10,2021-12
2021-12-17,1.614070188407108,-0.002165661335274662,1,0.30000000000000004,-0.11156963160066471,10,2021-12
2021-12-20,1.6112790606544098,-0.0017292480666238558,1,0.30000000000000004,-0.11310594809754919,10,2021-12
2021-12-21,1.6185410955864674,0.004507000127655198,1,0.30000000000000004,-0.1091087164924082,10,2021-12
2021-12-22,1.620726978268709,0.0013505265255249102,1,0.30000000000000004,-0.1079055441826723,10,2021-12
2021-12-23,1.6117113049698393,-0.005562734143230229,1,0.30000000000000004,-0.11286802847103376,10,2021-12
2021-12-24,1.6182824276779024,0.004077109025543675,1,0.30000000000000004,-0.10925109470306475,10,2021-12
2021-12-27,1.630576014537337,0.007596688099168688,1,0.6,-0.102484353094848,10,2021-12
2021-12-28,1.651688649517984,0.0129479612066032,1,0.6,-0.09086335531640068,10,2021-12
2021-12-29,1.6512304323281741,-0.00027742346594422434,1,0.6,-0.09111557115538568,10,2021-12
2021-12-30,1.6536675494140731,0.001475940025198535,1,0.6,-0.08977411224857422,10,2021-12
2021-12-31,1.658152941014878,0.002712390167173732,1,0.6,-0.0873052245007303,10,2021-12
2022-01-04,1.6716038345229074,0.008111973977380282,1,0.6,-0.07990146823258927,10,2022-01
2022-01-05,1.6646396801246588,-0.004166151246139151,0,0.6,-0.08373473787728287,10,2022-01
2022-01-06,1.6708170519445773,0.003710936302717531,0,0.6,-0.0803345358531528,10,2022-01
2022-01-07,1.6672365974080952,-0.002142936315089103,0,0.6,-0.08230532037400634,10,2022-01
2022-01-10,1.6740416726114142,0.0040816493675212215,0,0.6,-0.07855961246533327,10,2022-01
2022-01-11,1.6776687660515224,0.0021666685480117467,0,0.6,-0.07656315655879414,10,2022-01
2022-01-12,1.6858377231290789,0.004869231187263759,0,0.6,-0.07206672908124176,10,2022-01
2022-01-13,1.6709334823056348,-0.008840851417051104,0,0.6,-0.08027044925437282,10,2022-01
2022-01-14,1.661928661055796,-0.0053890961819817755,0,0.6,-0.0852269602647519,10,2022-01
2022-01-17,1.6767612923751238,0.008924950671411426,0,0.6,-0.07706265600957769,10,2022-01
2022-01-18,1.6658905299274045,-0.006483190241302047,0,0.6,-0.08304623439146959,10,2022-01
2022-01-19,1.6648019220391437,-0.0006534690417552281,0,0.6,-0.08364543529001567,10,2022-01
2022-01-20,1.639391422404837,-0.015263377160919342,0,0.6,-0.09763210062431416,10,2022-01
2022-01-21,1.6433014971721338,0.002385076994950541,0,0.6,-0.09547988370653145,10,2022-01
2022-01-24,1.630878033796978,-0.007560063321633175,0,0.6,-0.10231811306140104,10,2022-01
2022-01-25,1.5831807809657097,-0.029246364131976493,0,0.6,-0.12857204440148703,10,2022-01
2022-01-26,1.5833064302340403,7.936507936507937e-05,0,0.0,-0.12850288345263003,0,2022-01
2022-01-27,1.583432089474535,7.936507936507937e-05,0,0.0,-0.1284337170148088,0,2022-01
2022-01-28,1.5835577586879854,7.936507936507937e-05,0,0.0,-0.12836454508758774,0,2022-01
2022-02-07,1.583683437875183,7.936507936507937e-05,0,0.0,-0.12829536767053115,0,2022-02
2022-02-08,1.5838091270369192,7.936507936507937e-05,0,0.0,-0.12822618476320335,0,2022-02
2022-02-09,1.5839348261739856,7.936507936507937e-05,0,0.0,-0.1281569963651687,0,2022-02
2022-02-10,1.5840605352871742,7.936507936507937e-05,0,0.0,-0.12808780247599125,0,2022-02
2022-02-11,1.5841862543772764,7.936507936507937e-05,0,0.0,-0.1280186030952353,0,2022-02
2022-02-14,1.5843119834450843,7.936507936507937e-05,0,0.0,-0.12794939822246504,0,2022-02
2022-02-15,1.5844377224913895,7.936507936507937e-05,0,0.0,-0.12788018785724456,0,2022-02
2022-02-16,1.584563471516984,7.936507936507937e-05,0,0.0,-0.127810971999138,0,2022-02
2022-02-17,1.58468923052266,7.936507936507937e-05,0,0.0,-0.12774175064770932,0,2022-02
2022-02-18,1.5848149995092096,7.936507936507937e-05,0,0.0,-0.1276725238025226,0,2022-02
2022-02-21,1.5849407784774248,7.936507936507937e-05,0,0.0,-0.12760329146314173,0,2022-02
2022-02-22,1.5850665674280977,7.936507936507937e-05,0,0.0,-0.1275340536291308,0,2022-02
2022-02-23,1.5851923663620207,7.936507936507937e-05,0,0.0,-0.1274648103000537,0,2022-02
2022-02-24,1.5853181752799859,7.936507936507937e-05,0,0.0,-0.12739556147547434,0,2022-02
2022-02-25,1.585443994182786,7.936507936507937e-05,0,0.0,-0.12732630715495644,0,2022-02
2022-02-28,1.5855698230712134,7.936507936507937e-05,0,0.0,-0.1272570473380639,0,2022-02
2022-03-01,1.5856956619460605,7.936507936507937e-05,0,0.0,-0.12718778202436046,0,2022-03
2022-03-02,1.5858215108081197,7.936507936507937e-05,0,0.0,-0.12711851121341,0,2022-03
2022-03-03,1.5859473696581838,7.936507936507937e-05,0,0.0,-0.12704923490477615,0,2022-03
2022-03-04,1.5860732384970457,7.936507936507937e-05,0,0.0,-0.1269799530980225,0,2022-03
2022-03-07,1.586199117325498,7.936507936507937e-05,0,0.0,-0.12691066579271282,0,2022-03
2022-03-08,1.5863250061443332,7.936507936507937e-05,0,0.0,-0.12684137298841064,0,2022-03
2022-03-09,1.5864509049543447,7.936507936507937e-05,0,0.0,-0.12677207468467958,0,2022-03
2022-03-10,1.5865768137563252,7.936507936507937e-05,0,0.0,-0.12670277088108312,0,2022-03
2022-03-11,1.5867027325510679,7.936507936507937e-05,0,0.0,-0.12663346157718475,0,2022-03
2022-03-14,1.5868286613393656,7.936507936507937e-05,0,0.0,-0.126564146772548,0,2022-03
2022-03-15,1.5869546001220116,7.936507936507937e-05,0,0.0,-0.12649482646673627,0,2022-03
2022-03-16,1.5870805488997992,7.936507936507937e-05,0,0.0,-0.1264255006593129,0,2022-03
2022-03-17,1.5872065076735216,7.936507936507937e-05,0,0.0,-0.12635616934984137,0,2022-03
2022-03-18,1.587332476443972,7.936507936507937e-05,0,0.0,-0.1262868325378849,0,2022-03
2022-03-21,1.5874584552119437,7.936507936507937e-05,0,0.0,-0.12621749022300696,0,2022-03
2022-03-22,1.5875844439782305,7.936507936507937e-05,0,0.0,-0.12614814240477062,0,2022-03
2022-03-23,1.5877104427436257,7.936507936507937e-05,0,0.0,-0.1260787890827392,0,2022-03
2022-03-24,1.587836451508923,7.936507936507937e-05,0,0.0,-0.12600943025647587,0,2022-03
