date,nav,daily_ret,regime,exposure,dd,n_positions,stop_exit,month
2021-09-28,1.0399700166939403,7.936507936507937e-05,bull,0.0,-0.0786755855455908,0,True,2021-09
2021-09-29,1.0400525539968526,7.936507936507937e-05,bull,0.0,-0.07860246456031657,0,True,2021-09
2021-09-30,1.0401350978503445,7.936507936507937e-05,bull,0.0,-0.0785293377717895,0,True,2021-09
2021-10-08,1.040217648254936,7.936507936507937e-05,bull,0.0,-0.0784562051795491,0,True,2021-10
2021-10-11,1.0403002052111467,7.936507936507937e-05,bull,0.0,-0.07838306678313466,0,True,2021-10
2021-10-12,1.0403827687194969,7.936507936507937e-05,bull,0.0,-0.07830992258208568,0,True,2021-10
2021-10-13,1.0404653387805063,7.936507936507937e-05,bull,0.0,-0.07823677257594146,0,True,2021-10
2021-10-14,1.0405479153946953,7.936507936507937e-05,bull,0.0,-0.07816361676424108,0,True,2021-10
2021-10-15,1.0406304985625838,7.936507936507937e-05,bull,0.0,-0.07809045514652388,0,True,2021-10
2021-10-18,1.040713088284692,7.936507936507937e-05,bull,0.0,-0.07801728772232913,0,True,2021-10
2021-10-19,1.04079568456154,7.936507936507937e-05,bull,0.0,-0.07794411449119594,0,True,2021-10
2021-10-20,1.0408782873936482,7.936507936507937e-05,bull,0.0,-0.07787093545266342,0,True,2021-10
2021-10-21,1.0409608967815367,7.936507936507937e-05,bull,0.0,-0.07779775060627066,0,True,2021-10
2021-10-22,1.0410435127257258,7.936507936507937e-05,bull,0.0,-0.07772455995155678,0,True,2021-10
2021-10-25,1.0411261352267358,7.936507936507937e-05,bull,0.0,-0.07765136348806086,0,True,2021-10
2021-10-26,1.0412087642850871,7.936507936507937e-05,bull,0.0,-0.07757816121532182,0,True,2021-10
2021-10-27,1.0412913999013003,7.936507936507937e-05,bull,0.0,-0.07750495313287856,0,True,2021-10
2021-10-28,1.027606767231334,-0.013141981842223394,bull,1.0,-0.08962836628834725,10,False,2021-10
2021-10-29,1.0276883233239715,7.936507936507937e-05,bull,0.0,-0.08955611457138593,0,True,2021-10
2021-11-01,1.0277698858893147,7.936507936507937e-05,bull,0.0,-0.08948385712016142,0,True,2021-11
2021-11-02,1.0278514549278774,7.936507936507937e-05,bear,0.0,-0.08941159393421852,0,True,2021-11
2021-11-03,1.0279330304401733,7.936507936507937e-05,bear,0.0,-0.08933932501310222,0,True,2021-11
2021-11-04,1.0280146124267162,7.936507936507937e-05,bear,0.0,-0.08926705035635715,0,True,2021-11
2021-11-05,1.02809620088802,7.936507936507937e-05,bear,0.0,-0.08919476996352832,0,True,2021-11
2021-11-08,1.0281777958245983,7.936507936507937e-05,bear,0.0,-0.08912248383416033,0,True,2021-11
2021-11-09,1.0282593972369654,7.936507936507937e-05,bear,0.0,-0.08905019196779797,0,True,2021-11
2021-11-10,1.028341005125635,7.936507936507937e-05,bear,0.0,-0.08897789436398587,0,True,2021-11
2021-11-11,1.0284226194911212,7.936507936507937e-05,bear,0.0,-0.08890559102226864,0,True,2021-11
2021-11-12,1.028504240333938,7.936507936507937e-05,bear,0.0,-0.08883328194219108,0,True,2021-11
2021-11-15,1.0285858676545994,7.936507936507937e-05,bear,0.0,-0.0887609671232976,0,True,2021-11
2021-11-16,1.0286675014536195,7.936507936507937e-05,bear,0.0,-0.08868864656513284,0,True,2021-11
2021-11-17,1.0287491417315127,7.936507936507937e-05,bear,0.0,-0.08861632026724119,0,True,2021-11
2021-11-18,1.028830788488793,7.936507936507937e-05,bear,0.0,-0.08854398822916705,0,True,2021-11
2021-11-19,1.0289124417259747,7.936507936507937e-05,bear,0.0,-0.08847165045045505,0,True,2021-11
2021-11-22,1.0289941014435722,7.936507936507937e-05,bear,0.0,-0.08839930693064942,0,True,2021-11
2021-11-23,1.0290757676420994,7.936507936507937e-05,bear,0.0,-0.08832695766929473,0,True,2021-11
2021-11-24,1.0291574403220711,7.936507936507937e-05,bear,0.0,-0.08825460266593504,0,True,2021-11
2021-11-25,1.0292391194840016,7.936507936507937e-05,bear,0.0,-0.08818224192011474,0,True,2021-11
2021-11-29,1.029320805128405,7.936507936507937e-05,bear,0.0,-0.08810987543137827,0,True,2021-11
2021-11-30,1.0294024972557962,7.936507936507937e-05,bear,0.0,-0.08803750319926962,0,True,2021-11
2021-12-01,1.0294841958666896,7.936507936507937e-05,bear,0.0,-0.08796512522333301,0,True,2021-12
2021-12-02,1.0295659009615996,7.936507936507937e-05,bear,0.0,-0.08789274150311269,0,True,2021-12
2021-12-03,1.029647612541041,7.936507936507937e-05,bear,0.0,-0.08782035203815264,0,True,2021-12
2021-12-06,1.0297293306055284,7.936507936507937e-05,bear,0.0,-0.08774795682799691,0,True,2021-12
2021-12-07,1.0298110551555766,7.936507936507937e-05,bear,0.0,-0.08767555587218949,0,True,2021-12
2021-12-08,1.0298927861917,7.936507936507937e-05,bear,0.0,-0.08760314917027463,0,True,2021-12
2021-12-09,1.0299745237144136,7.936507936507937e-05,bear,0.0,-0.08753073672179613,0,True,2021-12
2021-12-10,1.0300562677242322,7.936507936507937e-05,bear,0.0,-0.08745831852629783,0,True,2021-12
2021-12-13,1.0301380182216706,7.936507936507937e-05,bear,0.0,-0.08738589458332374,0,True,2021-12
2021-12-14,1.0302197752072437,7.936507936507937e-05,bear,0.0,-0.08731346489241769,0,True,2021-12
2021-12-15,1.0303015386814667,7.936507936507937e-05,bear,0.0,-0.0872410294531233,0,True,2021-12
2021-12-16,1.0303833086448542,7.936507936507937e-05,bear,0.0,-0.0871685882649846,0,True,2021-12
2021-12-17,1.0304650850979213,7.936507936507937e-05,bear,0.0,-0.0870961413275452,0,True,2021-12
2021-12-20,1.0305468680411831,7.936507936507937e-05,bull,0.0,-0.08702368864034894,0,True,2021-12
2021-12-21,1.0306286574751546,7.936507936507937e-05,bull,0.0,-0.08695123020293945,0,True,2021-12
2021-12-22,1.030710453400351,7.936507936507937e-05,bull,0.0,-0.08687876601486033,0,True,2021-12
2021-12-23,1.0307922558172877,7.936507936507937e-05,bull,0.0,-0.08680629607565504,0,True,2021-12
2021-12-24,1.0308740647264796,7.936507936507937e-05,bull,0.0,-0.0867338203848674,0,True,2021-12
2021-12-27,1.04387156902392,0.012608236779037763,bull,1.0,-0.07521914414999271,10,False,2021-12
2021-12-28,1.0439544159738425,7.936507936507937e-05,bull,0.0,-0.07514574884397285,0,True,2021-12
2021-12-29,1.04403726949892,7.936507936507937e-05,bull,0.0,-0.0750723477129286,0,True,2021-12
2021-12-30,1.0441201295996738,7.936507936507937e-05,bull,0.0,-0.0749989407563979,0,True,2021-12
2021-12-31,1.0442029962766262,7.936507936507937e-05,bull,0.0,-0.07492552797391826,0,True,2021-12
2022-01-04,1.044285869530299,7.936507936507937e-05,bull,0.0,-0.07485210936502722,0,True,2022-01
2022-01-05,1.0443687493612142,7.936507936507937e-05,recover,0.0,-0.0747786849292625,0,True,2022-01
2022-01-06,1.0444516357698936,7.936507936507937e-05,recover,0.0,-0.07470525466616162,0,True,2022-01
2022-01-07,1.0445345287568595,7.936507936507937e-05,recover,0.0,-0.07463181857526213,0,True,2022-01
2022-01-10,1.044617428322634,7.936507936507937e-05,recover,0.0,-0.07455837665610135,0,True,2022-01
2022-01-11,1.044700334467739,7.936507936507937e-05,recover,0.0,-0.07448492890821681,0,True,2022-01
2022-01-12,1.0447832471926968,7.936507936507937e-05,recover,0.0,-0.07441147533114605,0,True,2022-01
2022-01-13,1.0448661664980297,7.936507936507937e-05,recover,0.0,-0.07433801592442617,0,True,2022-01
2022-01-14,1.0449490923842597,7.936507936507937e-05,recover,0.0,-0.07426455068759474,0,True,2022-01
2022-01-17,1.0450320248519094,7.936507936507937e-05,recover,0.0,-0.07419107962018888,0,True,2022-01
2022-01-18,1.045114963901501,7.936507936507937e-05,recover,0.0,-0.07411760272174592,0,True,2022-01
2022-01-19,1.0451979095335566,7.936507936507937e-05,recover,0.0,-0.07404411999180319,0,True,2022-01
2022-01-20,1.045280861748599,7.936507936507937e-05,recover,0.0,-0.07397063142989782,0,True,2022-01
2022-01-21,1.0453638205471505,7.936507936507937e-05,recover,0.0,-0.07389713703556677,0,True,2022-01
2022-01-24,1.0454467859297336,7.936507936507937e-05,recover,0.0,-0.07382363680834736,0,True,2022-01
2022-01-25,1.045529757896871,7.936507936507937e-05,recover,0.0,-0.07375013074777653,0,True,2022-01
2022-01-26,1.04974715507767,0.004033741889166632,recover,0.5,-0.07001387785033854,10,False,2022-01
2022-01-27,1.049830468343946,7.936507936507937e-05,recover,0.0,-0.06994006942794564,0,True,2022-01
2022-01-28,1.0499137882223861,7.936507936507937e-05,recover,0.0,-0.06986625514774149,0,True,2022-01
2022-02-07,1.049997114713515,7.936507936507937e-05,recover,0.0,-0.06979243500926108,0,True,2022-02
2022-02-08,1.0500804478178574,7.936507936507937e-05,recover,0.0,-0.06971860901203955,0,True,2022-02
2022-02-09,1.0501637875359382,7.936507936507937e-05,recover,0.0,-0.06964477715561189,0,True,2022-02
2022-02-10,1.0502471338682824,7.936507936507937e-05,recover,0.0,-0.06957093943951306,0,True,2022-02
2022-02-11,1.0503304868154149,7.936507936507937e-05,bear,0.0,-0.06949709586327804,0,True,2022-02
2022-02-14,1.0504138463778605,7.936507936507937e-05,bear,0.0,-0.06942324642644182,0,True,2022-02
2022-02-15,1.0504972125561445,7.936507936507937e-05,bear,0.0,-0.06934939112853913,0,True,2022-02
2022-02-16,1.050580585350792,7.936507936507937e-05,bear,0.0,-0.0692755299691048,0,True,2022-02
2022-02-17,1.0506639647623277,7.936507936507937e-05,bear,0.0,-0.06920166294767374,0,True,2022-02
2022-02-18,1.0507473507912772,7.936507936507937e-05,bear,0.0,-0.06912779006378059,0,True,2022-02
2022-02-21,1.0508307434381654,7.936507936507937e-05,bear,0.0,-0.06905391131696027,0,True,2022-02
2022-02-22,1.0509141427035178,7.936507936507937e-05,bear,0.0,-0.0689800267067472,0,True,2022-02
