date,nav,daily_ret,regime,exposure,dd,n_positions,month
2021-10-13,1.2368964543480019,-0.0007686296040776978,bull,1.0,-0.09853927176361646,10,2021-10
2021-10-14,1.2268772876238303,-0.008100246943834054,bull,1.0,-0.10584132627249963,10,2021-10
2021-10-15,1.2133462939153192,-0.011028807725927802,bull,1.0,-0.11570283036151087,10,2021-10
2021-10-18,1.2142380692892154,0.0007349718529394149,bull,1.0,-0.11505289683219255,10,2021-10
2021-10-19,1.2099978030015088,-0.003492121022188544,bull,1.0,-0.11814323921468976,10,2021-10
2021-10-20,1.2043027937794162,-0.004706627737641855,bull,1.0,-0.12229381070562893,10,2021-10
2021-10-21,1.2004437830406263,-0.003204352558777512,bull,1.0,-0.12510629077914917,10,2021-10
2021-10-22,1.1953842381071307,-0.004214728756960341,bull,1.0,-0.12879373045468598,10,2021-10
2021-10-25,1.1999003120947866,0.003777926664657285,bull,1.0,-0.12550237705855413,10,2021-10
2021-10-26,1.1900890257031909,-0.008176751262333904,bull,1.0,-0.13265292660084851,10,2021-10
2021-10-27,1.1739571697846236,-0.013555167361563916,bull,1.0,-0.14440996134133666,10,2021-10
2021-10-28,1.168599174885752,-0.004564046318533422,bull,1.0,-0.1483149139074507,10,2021-10
2021-10-29,1.1712939662829949,0.0023060014546959166,bull,1.0,-0.14635092685997858,10,2021-10
2021-11-01,1.185324488797389,0.011978651746084657,bull,1.0,-0.13612536189946634,10,2021-11
2021-11-02,1.1739069899730155,-0.0096323824676545,bull,1.0,-0.14444653281775735,10,2021-11
2021-11-03,1.1943386027240446,0.017404796909420164,bull,1.0,-0.1295557984763001,10,2021-11
2021-11-04,1.2119584620031225,0.014752817365938344,bull,1.0,-0.11671429414398085,10,2021-11
2021-11-05,1.2280868294480778,0.013307689950279603,bull,1.0,-0.10495980183293509,10,2021-11
2021-11-08,1.2496336896799036,0.017545062543753088,bull,1.0,-0.08925626557692086,10,2021-11
2021-11-09,1.281328803919768,0.025363524128405195,bull,1.0,-0.06615659489408723,10,2021-11
2021-11-10,1.2972201074005978,0.012402205766557473,bull,1.0,-0.05457487683022104,10,2021-11
2021-11-11,1.310884773185161,0.010533806642840838,bull,1.0,-0.04461595138746658,10,2021-11
2021-11-12,1.3084291258615994,-0.0018732747330604369,bull,1.0,-0.04640564818610149,10,2021-11
2021-11-15,1.3072477100857687,-0.0009029268398873423,bull,1.0,-0.047266674120719214,10,2021-11
2021-11-16,1.2930889605727967,-0.010830961418966946,bull,1.0,-0.0575856920158819,10,2021-11
2021-11-17,1.3101743750206998,0.01321286854102829,bull,1.0,-0.04513369565330371,10,2021-11
2021-11-18,1.2864135306049567,-0.01813563512518528,bull,1.0,-0.062450802542269535,10,2021-11
2021-11-19,1.301190940293974,0.011487293422720781,bull,1.0,-0.05168089981283615,10,2021-11
2021-11-22,1.3111512196253983,0.007654740763237878,bull,1.0,-0.04442176294007634,10,2021-11
2021-11-23,1.3052420757794616,-0.004506836250074076,bull,1.0,-0.04872839757863994,10,2021-11
2021-11-24,1.3067253564903225,0.0011364027703252844,bull,1.0,-0.04764736989431654,10,2021-11
2021-11-25,1.311990018688569,0.004028897252278419,bull,1.0,-0.04381043899968363,10,2021-11
2021-11-26,1.2993696740170682,-0.009619238326306602,bull,1.0,-0.05300825427207212,10,2021-11
2021-11-29,1.3341227272701406,0.026746086158553707,bull,1.0,-0.027679931449393718,10,2021-11
2021-11-30,1.3406266098702617,0.0048750257132858426,bull,1.0,-0.02293984611366554,10,2021-11
2021-12-01,1.3501880342302337,0.007132056226227802,bull,1.0,-0.015971398159741333,10,2021-12
2021-12-02,1.3374785299730758,-0.009413136492802468,bull,1.0,-0.025234193701685295,10,2021-12
2021-12-03,1.3644820800954631,0.020189894280344657,bull,1.0,-0.005553775124427311,10,2021-12
2021-12-06,1.3083910984650042,-0.04110789174053105,bull,1.0,-0.04643336287839213,10,2021-12
2021-12-07,1.2839772621192915,-0.018659433233957946,bull,1.0,-0.06422637587789262,10,2021-12
2021-12-08,1.3208745022409225,0.02873667720620661,bull,1.0,-0.03733535130341353,10,2021-12
2021-12-09,1.3043535889672555,-0.01250755711132171,bull,1.0,-0.04937593437603656,10,2021-12
2021-12-10,1.3207475370060127,0.01256863796552066,bull,1.0,-0.03742788465389748,10,2021-12
2021-12-13,1.3245298081246835,0.002863735129307797,bull,1.0,-0.03467133307268878,10,2021-12
2021-12-14,1.3268789736115247,0.0017735844617700956,bull,1.0,-0.03295924114852525,10,2021-12
